Cidade_operador;So_Agua_yes;Nat_jur_B;Nat_jur_C;PIB_capta_2017;Urbaniz;POP_TOT;POP_URB;AG001;AG001A;AG002;AG002A;AG003;AG003A;AG005;AG005A;AG006;AG007;AG010;AG011;AG013;AG013A;AG021;AG021A;AG026;AG026A;AG028;ES001;ES001A;ES002;ES002A;ES003;ES003A;ES004;ES004A;ES005;ES006;ES007;ES009;ES009A;ES028;FN001;FN002;FN003;FN004;FN005;FN006;FN008;FN008A;FN010;FN011;FN013;FN014;FN015;FN016;FN017;FN018;FN019;FN020;FN021;FN022;FN023;FN024;FN025;FN026;FN026A;FN027;FN028;FN030;FN031;FN032;FN033;FN034;FN035;FN036;FN037;QD002;QD003;QD023;QD024
2.20E+13;1;0;0;6370.5;0.13;7065;943;1681;1817;604;584;611;590;4.07;4.59;66.41;66.41;51.74;77.38;556;536;746;722;940;918;29.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250654.66;250654.66;0;10140.96;260795.62;268573.62;34806.76;33239.08;215306.42;1233.07;25139.85;192023.54;456366.32;0;506589.61;260.05;31364.46;0;9229.57;17435.29;0;0;0;1;1;13433.87;1423.54;260.05;0;0;260.05;0;0;0;0;0;0;305;184
2.20E+13;1;0;0;6755.76;0.71;5148;3637;3853;4065;1241;1304;1249;1312;21.13;21.6;202.58;0;155.9;185.9;1182;1243;1869;1847;3358;3531;394.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597192.27;597192.27;0;26708.63;623900.9;714701.59;312874.92;318474.71;564318.07;9368.5;267089.54;146713.01;1037261.94;0;1301631.54;531.58;75769.07;0;22016.34;41887.52;0;0;0;2;2;27756.48;146713.01;531.58;0;0;531.58;0;0;0;0;0;0;1097;902
2.20E+13;0;0;0;10704.23;0.88;17349;15333;16259;16511;4964;5020;5078;5112;21.4;22.05;1105.95;0;598.88;732.9;4768;4772;6397;6293;14883;14895;814.52;6460;4412;1956;1356;2019;1405;19.63;19;177.35;177.35;269.18;2015;1391;0;3011392.61;2482300.98;529091.63;234865.21;3246257.82;3276992.01;1979920.22;2000443.05;1604535.8;5801.85;504719.72;213004.49;2558835.76;0;3007724.07;2161.23;256042.12;0;116010.98;165138.23;0;0;0;5;5;114762.92;27707.96;2161.23;0;0;2161.23;0;0;0;0;0;0;4926;3707
2.20E+13;1;0;0;6594.39;0.36;7636;2776;3292;3083;1015;1045;1019;1049;5.07;5.16;200.39;0;88.78;134.99;993;1021;1549;1526;2403;2471;170.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408886.52;408886.52;0;29917.8;438804.32;462530.59;227258.12;219527.85;331538.41;700.6;104893.89;63505.52;531262.28;0;668958.36;433.69;43775.46;0;15483.17;30415.1;0;0;0;2;2;15140.69;63505.52;433.69;0;0;433.69;0;0;0;0;0;0;341;305
2.20E+13;1;0;0;6334.59;0.49;14268;7020;4355;4396;1390;1407;1401;1418;14.93;15.09;269.13;0;161.67;203.52;1282;1294;2108;2093;4355;4396;159.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;639774;639774;0;55053.35;694827.35;817745.45;15190.34;254481.13;668277.26;7820.1;153522.4;137969.45;1023563.02;0;1150160.3;596.27;73685.12;0;24894.41;45856.08;0;0;0;1;3;31079.4;7056.08;596.27;0;0;596.27;0;0;0;0;0;0;979;974
2.20E+13;0;0;0;9354.21;0.71;40440;28529;21823;22945;6372;6473;6447;6549;30.06;31.83;1630.82;0;769.67;940.22;6149;6235;9404;8822;21823;22128;1399.12;2175;2190;614;616;619;621;10.9;12.54;46.3;46.3;86.35;648;639;5.53;3205300.13;3060739.55;144560.58;359641.91;3564942.04;3731626.92;2406911;2388992.35;2310878.45;9419.11;1049386.21;603261.15;4251293.18;0;4884456.03;2743.89;385623.84;0;127870.72;211850.76;0;0;0;9;9;150477.54;35688.25;2743.89;0;0;2743.89;0;0;0;0;0;0;6323;5421
2.20E+13;1;0;0;7765.73;0.51;17592;9006;9728;10309;3014;3217;3102;3307;24.84;25.58;735.74;0;405.66;485.96;2874;3041;4091;4027;8129;8601;426.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1758190.02;1758190.02;0;93301.83;1851491.85;2001368.64;1676053.3;1702316.47;1264982.3;4280.24;258870.12;104783.84;1780095.32;0;2053346.56;1320.23;163094;0;67457.18;109497.16;0;0;0;3;6;79721.64;660.08;1320.23;0;0;1320.23;0;0;0;0;0;0;3120;2976
2.20E+13;1;0;0;8267.16;0.78;6792;5308;4970;4958;1641;1635;1659;1656;25.53;25.87;523.32;0;171.96;222.75;1568;1559;2453;2422;4970;4941;94.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729105.02;729105.02;0;23440.23;752545.25;802865.05;222969.89;222309.48;683906.31;5828.12;75315.53;130313.15;961739.19;0;1094868.79;706.08;81661.71;0;26904.94;50189.22;0;0;0;3;3;39471.14;1278.67;706.08;0;0;706.08;0;0;0;0;0;0;713;654
2.20E+13;1;0;0;6878.17;0.49;9818;4859;5931;5573;1739;1729;1751;1741;14.82;15.28;240.9;0;166.03;225.4;1648;1639;2813;2768;4514;4489;292.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667464.24;667464.24;0;28201.62;695665.86;663736.94;617008.71;548379.32;466946.66;2073.04;254232.69;350109.73;1130374.83;0;1613519.55;745.24;82248.67;0;24661.4;50786.32;0;0;0;1;1;32351.31;350109.73;745.24;0;0;745.24;0;0;0;0;0;0;1961;1659
2.20E+13;1;0;0;22675.63;0.73;3158;2311;3090;3054;980;951;982;956;20.88;20.87;233.82;0;124.38;147.16;929;900;1273;1246;2307;2235;115.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503861.19;503861.19;0;15296.57;519157.76;552614.29;106732.23;100689.72;354800.65;0;96549.14;3271.73;494206.05;0;587275.4;417.95;56638.79;0;18560.03;33158.83;0;0;0;2;2;21024.5;3271.73;417.95;0;0;417.95;0;0;0;0;0;0;522;379
2.20E+13;1;0;0;7876.1;0.59;5844;3469;4323;4375;1294;1293;1306;1303;23.58;22.71;285.67;0;150.24;185.43;1271;1268;1705;1682;3383;3375;160.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;590497.78;590497.78;0;28698.92;619196.7;635324.25;289003.05;273677.77;368831.55;2462.87;117149.17;109994.02;647431.66;0;864690.37;555.84;65484.2;0;22055.47;41780.49;0;0;0;1;1;26938.58;109994.02;555.84;0;0;555.84;0;0;0;0;0;0;1294;1057
