c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
354420;SP;2013;35503000;1;1;15.37;0;79;3.77;6.77;8.18;9.14;12.07;6.01;-0.12
354350;SP;2014;35503000;1;1;14.26;0;73;3.66;5.64;7.73;7.84;12.03;28.16;-0.11
354350;SP;2013;35503000;1;1;14.13;0;73;3.66;5.63;7.72;7.75;11.84;25.44;-0.22
354425;SP;2014;35503000;1;1;15.51;0;81;4.84;7.06;8.87;8.65;11.99;10.62;-0.33
354425;SP;2013;35503000;1;1;15.50;0;81;4.83;7.06;8.86;9.12;11.85;16.45;-0.31
354430;SP;2014;35503000;1;1;14.73;0;95;3.66;6.34;8.17;7.19;11.88;23.75;0.36
354430;SP;2013;35503000;1;1;14.66;0;95;3.66;6.31;8.15;8.07;11.65;17.23;0.38
354440;SP;2014;35503000;1;1;13.45;0;57;2.94;5.10;6.98;6.65;11.83;2.68;-0.14
354440;SP;2013;35503000;1;1;13.38;0;57;2.94;5.08;6.94;6.72;11.77;-1.83;-0.20
354450;SP;2014;35503000;1;1;13.88;0;82;3.66;5.63;7.43;7.69;11.71;-7.56;-0.65
354450;SP;2013;35503000;1;1;13.66;0;82;3.66;5.58;7.36;7.96;11.37;-9.91;-0.63
354470;SP;2014;35503000;1;1;13.17;0;76;2.43;4.89;6.74;7.29;11.60;4.37;-0.34
354470;SP;2013;35503000;1;1;13.10;0;76;2.43;4.84;6.71;7.57;11.49;5.69;-0.36
354490;SP;2014;35449011;1;0;13.72;0;91;4.04;6.82;8.34;2.71;9.58;50.00;1.75
354490;SP;2013;35449011;1;0;13.72;0;91;4.04;6.82;8.32;2.71;9.58;50.00;1.75
354500;SP;2014;35503000;1;1;15.11;0;64;4.06;6.40;8.27;7.73;11.78;7.78;-1.14
354500;SP;2013;35503000;1;1;15.06;0;64;4.06;6.40;8.24;7.53;11.80;8.87;-1.02
354510;SP;2014;35503000;1;1;14.32;0;90;2.90;5.65;7.50;7.78;12.28;-0.45;0.14
354510;SP;2013;35503000;1;1;14.05;0;90;2.90;5.63;7.47;8.11;12.01;-7.49;0.16
354520;SP;2014;35452011;1;0;16.60;0;99;6.25;8.97;10.63;9.12;10.77;37.56;-3.51
354530;SP;2014;35503000;1;1;16.33;0;78;5.50;7.95;9.72;9.39;11.75;30.72;0.09
354530;SP;2013;35503000;1;1;16.18;0;78;5.36;7.90;9.69;7.88;11.62;39.14;0.00
354550;SP;2014;35503000;1;1;13.86;0;70;2.83;5.29;7.13;7.50;12.28;8.20;-0.31
354550;SP;2013;35503000;1;1;13.89;0;70;2.83;5.25;7.09;7.59;11.82;8.23;-0.33
354560;SP;2014;35456011;1;0;14.23;0;95;3.64;6.90;8.53;5.32;10.45;14.01;0.25
354560;SP;2013;35456011;1;0;14.20;0;95;3.61;6.87;8.49;5.18;10.41;46.59;-0.09
354570;SP;2014;35503000;1;1;14.26;0;85;3.59;6.00;7.79;8.05;12.13;1.78;0.02
354570;SP;2013;35503000;1;1;14.06;0;85;3.59;5.98;7.74;8.21;11.82;1.95;-0.13
354580;SP;2014;35458011;1;0;17.69;0;99;6.63;9.43;11.02;11.08;10.93;53.35;-0.15
354580;SP;2013;35458011;1;0;17.70;0;99;6.59;9.28;11.01;9.30;10.83;56.44;0.01
354600;SP;2014;35460011;1;0;14.25;0;88;3.58;6.57;8.34;7.65;10.38;52.52;0.00
354600;SP;2013;35460011;1;0;14.10;0;88;3.40;6.48;8.24;7.55;10.07;49.71;0.62
354610;SP;2014;35503000;1;1;13.26;0;75;2.85;4.86;6.61;7.04;12.50;2.38;-0.19
354610;SP;2013;35503000;1;1;13.03;0;75;2.76;4.83;6.57;7.64;11.82;0.23;-0.29
354640;SP;2014;35503000;1;1;16.38;0;91;5.38;8.06;9.78;9.56;11.72;29.42;-0.25
354640;SP;2013;35503000;1;1;16.21;0;91;5.38;8.03;9.75;9.71;11.55;25.80;-0.22
354650;SP;2014;35503000;1;1;14.17;0;92;3.18;5.98;7.68;8.11;12.01;5.76;-0.22
354650;SP;2013;35503000;1;1;14.41;0;92;3.18;5.95;7.64;8.10;12.00;3.20;-0.29
354660;SP;2014;35466011;1;0;15.62;0;96;5.05;7.70;9.62;2.08;10.21;28.67;-0.37
354660;SP;2013;35466011;1;0;15.54;0;96;5.04;7.80;9.58;2.08;10.17;25.36;-0.48
354670;SP;2014;35467011;1;0;15.56;1;99;4.16;7.49;8.95;9.62;11.13;11.86;0.15
354670;SP;2013;35467011;1;0;15.24;1;99;4.15;7.33;8.91;9.69;11.03;23.30;0.15
354680;SP;2014;35468011;1;0;14.84;0;78;4.76;7.36;9.31;8.19;9.96;61.71;-2.81
354690;SP;2014;35469011;1;0;13.45;0;94;3.56;6.33;7.73;7.19;10.12;36.72;0.82
354690;SP;2013;35469011;1;0;13.32;0;94;3.56;6.33;7.72;7.17;10.01;31.03;0.65
354700;SP;2014;35503000;0;1;13.76;0;88;3.18;5.87;7.58;7.17;11.89;19.84;-0.24
354700;SP;2013;35503000;0;1;13.68;0;88;3.18;5.84;7.56;6.02;11.69;9.44;-0.30
354710;SP;2014;35503000;1;1;13.61;0;87;2.99;5.39;7.22;7.20;11.87;-11.51;-0.43
354710;SP;2013;35503000;1;1;13.56;0;87;2.98;5.34;7.20;7.53;11.77;0.86;-0.45
354720;SP;2014;35503000;1;1;13.11;0;67;2.44;4.60;6.47;7.29;12.49;-3.05;-0.02
354720;SP;2013;35503000;1;1;12.99;0;67;2.44;4.61;6.46;6.71;12.26;-3.16;0.01
354730;SP;2014;35503000;1;1;17.37;0;100;6.38;9.08;10.50;10.01;12.43;0.45;-0.42
354730;SP;2013;35503000;1;1;17.32;0;100;6.37;9.08;10.44;9.81;12.33;25.18;-0.67
354740;SP;2014;35474011;1;0;12.61;0;70;2.56;5.43;6.97;2.20;10.39;47.26;-0.49
354740;SP;2013;35474011;1;0;12.46;0;70;2.48;5.13;6.87;2.48;10.24;-7.57;0.40
354750;SP;2014;35475011;1;0;15.21;0;90;4.96;7.78;9.27;6.26;10.49;32.40;-0.24
354750;SP;2013;35475011;1;0;15.05;0;90;4.96;7.93;9.26;6.17;10.48;39.89;-0.34
354760;SP;2014;35503000;1;1;15.91;0;95;4.59;7.42;9.17;9.20;11.90;11.89;-0.26
354760;SP;2013;35503000;1;1;16.27;0;95;4.59;7.42;9.15;9.29;11.99;9.23;-0.37
354770;SP;2014;35503000;1;1;15.43;0;93;4.18;7.14;8.97;8.91;11.64;11.31;0.28
354770;SP;2013;35503000;1;1;15.37;0;93;4.18;7.13;8.96;9.09;11.52;15.38;0.30
354780;SP;2014;35478011;1;0;19.11;0;100;7.52;10.65;12.15;11.23;10.59;41.73;-2.12
354780;SP;2013;35478011;1;0;18.90;0;100;7.50;10.71;12.12;11.08;10.47;23.74;-1.83
354790;SP;2014;35479011;1;0;12.75;0;74;3.91;5.80;7.71;3.69;9.73;54.17;-0.71
354790;SP;2013;35479011;1;0;12.72;0;74;3.69;5.77;7.67;3.56;9.48;28.89;-0.34
354805;SP;2014;35480511;1;0;13.53;0;78;3.53;7.09;7.77;2.48;10.65;20.36;-1.08
354805;SP;2013;35480511;1;0;13.24;0;78;3.43;7.09;7.71;2.48;10.35;20.20;-1.11
354810;SP;2014;35503000;1;1;14.13;0;59;2.79;5.49;7.27;6.59;12.13;22.89;-0.48
354810;SP;2013;35503000;1;1;14.14;0;59;2.74;5.51;7.25;6.96;12.17;21.09;-0.45
354820;SP;2014;35503000;1;1;14.28;0;59;3.45;5.74;7.58;7.05;12.15;13.86;-0.27
354820;SP;2013;35503000;1;1;14.34;0;59;3.32;5.69;7.50;7.10;12.14;8.97;-0.21
354830;SP;2014;35503000;1;1;13.94;0;88;3.11;5.32;7.24;8.15;11.94;-5.15;0.28
354830;SP;2013;35503000;1;1;13.77;0;88;3.03;5.25;7.14;8.06;11.74;0.07;0.21
354840;SP;2014;35503000;1;1;14.20;0;97;2.95;5.60;7.49;7.65;11.95;1.59;0.51
354840;SP;2013;35503000;1;1;14.10;0;97;2.95;5.59;7.48;7.93;11.96;-3.28;0.51
354850;SP;2014;35503000;1;1;19.05;0;100;7.25;10.62;11.28;9.34;11.74;13.27;-2.66
354850;SP;2013;35503000;1;1;19.03;0;100;7.24;10.62;11.27;8.81;11.68;15.72;-2.81
354860;SP;2014;35503000;1;1;15.10;0;48;4.25;6.33;8.13;8.12;12.12;-2.28;-1.24
354860;SP;2013;35503000;1;1;14.91;0;48;4.24;6.29;8.10;8.28;12.00;-0.28;-1.24
354870;SP;2014;35503000;1;1;19.36;0;98;7.57;10.89;12.15;11.48;12.00;32.78;-2.30
354870;SP;2013;35503000;1;1;19.25;0;98;7.52;10.90;12.13;11.60;11.89;36.49;-2.30
354880;SP;2014;35488011;1;0;17.93;0;100;6.11;9.45;10.52;8.90;11.70;18.55;-3.91
354880;SP;2013;35488011;1;0;18.04;0;100;6.10;9.56;10.51;8.23;11.63;20.96;-4.61
354890;SP;2014;35489011;1;0;18.29;0;96;6.90;9.68;11.44;9.43;10.94;41.23;0.41
354890;SP;2013;35489011;1;0;18.23;0;96;6.89;9.68;11.42;9.37;10.95;48.09;0.24
354900;SP;2014;35503000;1;1;13.47;0;78;2.65;5.13;6.99;7.15;12.09;4.65;-0.42
354900;SP;2013;35503000;1;1;13.41;0;78;2.62;5.11;6.94;7.75;12.01;3.85;-0.51
354910;SP;2014;35503000;1;1;17.15;0;96;5.98;8.81;10.52;10.08;11.60;23.29;-0.56
354910;SP;2013;35503000;1;1;17.14;0;96;5.91;8.82;10.49;10.16;11.51;11.90;-0.33
354920;SP;2014;35503000;1;1;13.50;0;76;2.86;5.09;6.87;6.87;12.25;-1.39;-0.15
354920;SP;2013;35503000;1;1;13.44;0;76;2.85;5.06;6.84;7.63;12.13;-0.23;-0.09
354925;SP;2014;35492511;1;0;12.24;0;82;2.20;4.71;6.49;3.97;10.34;67.61;-1.43
354925;SP;2013;35492511;1;0;12.04;0;82;2.20;4.71;6.49;4.09;10.00;65.30;-1.39
354930;SP;2014;35493011;1;0;11.99;0;81;4.11;3.95;6.79;3.00;10.01;94.17;-3.91
354940;SP;2014;35494011;1;0;15.31;0;98;5.01;8.58;9.70;7.65;10.65;33.42;0.05
354940;SP;2013;35494011;1;0;15.48;0;98;5.16;8.74;9.69;7.44;10.64;27.46;0.03
354950;SP;2014;35495011;1;0;13.22;0;89;3.16;6.45;7.90;3.18;10.44;46.89;-1.56
354950;SP;2013;35495011;1;0;13.04;0;89;3.16;6.65;7.79;2.30;10.38;40.04;-1.77
354980;SP;2014;35498011;1;0;18.06;0;94;7.46;10.47;11.80;12.49;11.24;30.06;0.04
354980;SP;2013;35498011;1;0;17.92;0;94;7.43;10.40;11.73;12.42;11.02;26.57;0.17
354990;SP;2014;35503000;1;1;19.10;0;98;7.16;10.71;12.20;11.61;11.79;29.85;-0.25
354990;SP;2013;35503000;1;1;19.06;0;98;7.15;10.70;12.19;11.53;11.71;29.88;-0.25
354995;SP;2014;35503000;1;1;14.88;0;91;3.46;6.31;8.15;7.00;11.72;13.19;0.34
354995;SP;2013;35503000;1;1;14.93;0;91;3.46;6.28;8.11;8.24;11.83;21.14;0.20
355000;SP;2014;35503000;1;1;14.81;0;59;3.46;6.18;8.09;7.36;11.62;9.95;-0.40
355000;SP;2013;35503000;1;1;14.80;0;59;3.46;6.14;8.08;7.67;11.46;6.15;-0.19
355010;SP;2014;35503000;1;1;16.26;0;98;5.13;7.89;9.65;9.56;11.34;30.69;0.16
355010;SP;2013;35503000;1;1;16.12;0;98;5.13;7.87;9.63;8.76;11.19;30.06;0.18
355020;SP;2014;35503000;1;1;15.47;0;68;4.76;7.22;9.12;8.93;11.81;19.36;-0.20
355020;SP;2013;35503000;1;1;15.40;0;68;4.76;7.21;9.09;9.18;11.73;14.45;-0.34
355030;SP;2014;35503000;1;1;22.09;0;99;9.95;13.62;15.01;14.27;11.91;25.22;-1.51
355030;SP;2013;35503000;1;1;22.06;0;99;9.94;13.68;14.99;14.22;11.84;29.20;-1.51
355040;SP;2014;35504011;1;0;15.73;0;84;5.19;7.77;9.51;10.34;10.59;52.67;-0.30
355040;SP;2013;35504011;1;0;15.59;0;84;5.19;7.74;9.50;10.39;10.42;54.99;-0.34
355050;SP;2014;35505011;1;0;13.34;0;72;3.18;6.33;7.69;6.25;9.88;0.00;-1.24
355050;SP;2013;35505011;1;0;13.17;0;72;3.09;6.33;7.68;6.24;9.77;-1.82;-1.27
355060;SP;2014;35503000;1;1;16.91;0;91;5.80;8.36;10.03;9.79;11.71;42.38;0.13
355060;SP;2013;35503000;1;1;16.80;0;91;5.80;8.31;9.98;8.39;11.55;46.82;0.07
355070;SP;2014;35503000;1;1;17.41;0;99;5.85;8.68;10.18;10.17;11.92;34.92;-0.71
355070;SP;2013;35503000;1;1;17.66;0;99;5.85;8.63;10.16;10.18;11.84;36.19;-0.71
355080;SP;2014;35508011;1;0;13.00;0;66;4.09;6.33;8.11;5.97;10.21;77.38;-3.91
355080;SP;2013;35508011;1;0;12.95;0;66;4.09;6.34;8.08;5.95;10.18;60.12;-3.00
355100;SP;2014;35503000;1;1;18.51;0;100;6.76;10.04;11.48;9.32;11.94;48.78;-4.61
355100;SP;2013;35503000;1;1;18.41;0;100;6.75;10.03;11.47;8.82;11.77;44.88;-3.51
355110;SP;2014;35503000;1;1;14.76;0;74;4.44;6.48;8.31;7.96;11.97;-15.85;0.64
355110;SP;2013;35503000;1;1;14.63;0;74;4.42;6.42;8.27;8.05;11.97;-5.05;0.55
355120;SP;2014;35503000;1;1;13.78;0;82;2.67;5.36;7.23;7.37;11.83;4.67;0.09
355120;SP;2013;35503000;1;1;13.83;0;82;2.67;5.37;7.20;7.28;11.78;15.63;0.09
355130;SP;2014;35503000;1;1;13.69;0;77;2.61;5.32;7.11;7.01;12.12;-6.03;-0.31
355130;SP;2013;35503000;1;1;13.59;0;77;2.61;5.29;7.03;7.06;11.79;-5.96;-0.14
355140;SP;2014;35503000;1;1;14.78;0;71;3.36;6.31;8.02;8.19;12.02;11.99;-0.13
355140;SP;2013;35503000;1;1;15.17;0;71;3.36;6.29;7.99;8.19;12.13;9.47;-0.21
355150;SP;2014;35515011;1;0;15.05;0;99;4.70;8.14;9.54;7.31;10.46;39.81;-0.12
355150;SP;2013;35515011;1;0;14.94;0;99;4.70;8.07;9.51;7.28;10.68;41.91;-0.30
355160;SP;2014;35503000;1;1;16.33;0;87;4.74;7.62;9.10;8.87;11.98;2.02;0.42
355160;SP;2013;35503000;1;1;16.23;0;87;4.72;7.62;9.07;9.19;11.77;-3.56;0.20
355170;SP;2014;35517011;1;0;17.14;0;99;6.21;9.32;10.60;8.54;10.84;40.04;0.31
355170;SP;2013;35517011;1;0;16.79;0;99;6.21;9.32;10.66;8.54;10.77;39.79;0.23
355180;SP;2014;35503000;1;1;14.94;0;55;4.31;6.37;8.23;6.81;11.87;12.63;-0.80
355180;SP;2013;35503000;1;1;14.91;0;55;4.31;6.34;8.21;7.63;11.88;10.53;-0.89
355200;SP;2014;35503000;1;1;14.28;0;50;3.15;5.54;7.36;7.05;11.90;-13.25;0.02
355200;SP;2013;35503000;1;1;14.16;0;50;3.15;5.50;7.32;6.44;11.78;-9.23;0.09
355210;SP;2014;35503000;1;1;16.17;0;68;4.70;7.46;9.18;8.02;12.12;11.50;-0.36
355210;SP;2013;35503000;1;1;15.87;0;68;4.69;7.48;9.15;8.26;11.79;14.92;-0.39
355220;SP;2014;35522011;1;0;18.45;0;99;7.53;10.75;12.27;10.67;11.03;32.95;-0.92
355220;SP;2013;35522011;1;0;18.64;0;99;7.51;10.75;12.21;11.06;10.97;34.77;-0.97
355230;SP;2014;35503000;1;1;14.45;0;86;3.48;6.15;7.97;8.59;12.25;4.43;-0.21
355230;SP;2013;35503000;1;1;14.38;0;86;3.36;6.14;7.87;8.62;12.03;1.68;-0.25
355240;SP;2014;35524011;1;0;17.70;0;99;6.66;9.43;11.31;9.68;11.25;59.95;-0.40
355240;SP;2013;35524011;1;0;17.69;0;99;6.65;9.48;11.28;9.59;11.18;57.43;-0.58
355250;SP;2014;35503000;1;1;18.09;0;96;6.73;9.65;11.32;11.22;11.91;20.63;-0.76
355250;SP;2013;35503000;1;1;18.05;0;96;6.71;9.65;11.30;10.71;11.77;26.27;-0.84
355260;SP;2014;35526011;1;0;13.77;0;93;4.41;6.86;8.36;4.49;10.50;3.54;-0.15
355260;SP;2013;35526011;1;0;13.65;0;93;4.39;6.84;8.34;4.14;10.21;28.63;-0.49
355280;SP;2014;35503000;1;1;17.86;0;100;6.00;9.66;11.23;10.53;11.91;22.56;-3.51
355280;SP;2013;35503000;1;1;17.84;0;100;6.00;9.67;11.19;10.29;11.74;26.32;-3.22
355290;SP;2014;35503000;1;1;14.29;0;85;3.28;5.82;7.64;7.81;12.03;8.44;-0.07
355290;SP;2013;35503000;1;1;14.19;0;85;3.27;5.78;7.60;7.65;11.89;11.53;-0.04
355300;SP;2014;35503000;1;1;14.78;0;72;3.31;6.42;8.27;7.86;11.86;5.87;0.07
355300;SP;2013;35503000;1;1;14.68;0;72;3.31;6.40;8.24;7.09;11.85;4.01;0.19
355310;SP;2014;35531011;1;0;12.65;0;91;3.00;5.89;7.52;3.95;10.14;23.08;1.60
355310;SP;2013;35531011;1;0;12.47;0;91;3.00;5.44;7.50;3.97;9.81;62.01;-0.84
355330;SP;2014;35533011;1;0;15.18;0;89;5.01;7.89;9.03;8.08;10.64;7.00;-0.78
355330;SP;2013;35533011;1;0;14.95;0;89;4.96;7.97;9.00;7.49;10.74;7.10;-0.78
355350;SP;2014;35503000;1;1;14.47;0;71;3.74;5.75;7.70;6.25;12.02;12.95;0.03
355350;SP;2013;35503000;1;1;14.43;0;71;3.71;5.71;7.68;7.79;11.83;10.43;-0.08
355370;SP;2014;35537011;1;0;16.02;0;95;5.57;8.39;9.99;9.17;10.31;31.02;0.26
355370;SP;2013;35537011;1;0;15.98;0;95;5.51;8.32;9.97;8.89;10.29;31.16;0.25
355380;SP;2014;35503000;1;1;15.50;0;88;4.26;7.15;9.02;8.90;11.65;8.92;-0.17
355380;SP;2013;35503000;1;1;15.45;0;88;4.24;7.14;8.96;9.04;11.52;17.78;-0.20
355385;SP;2014;35503000;1;1;13.90;0;55;2.92;5.53;7.50;7.40;11.59;13.66;0.14
355385;SP;2013;35503000;1;1;13.77;0;55;2.92;5.48;7.45;7.30;11.56;15.53;0.15
355390;SP;2014;35503000;1;1;14.42;0;92;3.42;5.92;7.79;8.21;11.99;-7.83;0.22
355390;SP;2013;35503000;1;1;14.36;0;92;3.42;5.89;7.76;8.23;11.71;-1.84;0.14
355395;SP;2014;35503000;1;1;14.77;0;94;4.17;6.76;8.54;8.35;11.71;0.49;-0.40
355395;SP;2013;35503000;1;1;14.60;0;94;4.14;6.70;8.50;8.49;11.57;10.13;-0.54
355400;SP;2014;35503000;1;1;17.29;0;95;6.10;8.90;10.70;10.29;11.60;37.64;0.14
355400;SP;2013;35503000;1;1;17.15;0;95;6.08;8.89;10.67;8.96;11.45;40.73;-0.12
355410;SP;2014;35503000;1;1;18.25;0;98;6.77;9.98;11.53;11.28;11.73;31.03;-1.35
355410;SP;2013;35503000;1;1;18.17;0;98;6.75;9.98;11.50;11.05;11.63;28.42;-0.65
355430;SP;2014;35503000;1;1;15.41;0;81;4.08;7.18;8.99;8.95;11.47;9.90;-0.36
355430;SP;2013;35503000;1;1;15.32;0;81;4.07;7.14;8.96;9.17;11.42;14.40;-0.43
355440;SP;2014;35503000;1;1;14.60;0;95;3.46;6.27;8.01;7.86;11.94;29.02;-0.39
355440;SP;2013;35503000;1;1;14.62;0;95;3.46;6.24;8.01;7.81;11.82;23.06;-0.37
355450;SP;2014;35545011;1;0;16.11;0;91;4.96;7.69;9.63;9.04;10.34;50.54;-1.51
355450;SP;2013;35545011;1;0;15.93;0;91;4.91;7.65;9.52;8.90;10.10;50.54;-1.56
355460;SP;2014;35503000;1;1;13.61;0;73;2.81;4.91;6.79;7.22;11.68;2.74;0.44
355460;SP;2013;35503000;1;1;13.55;0;73;2.81;4.89;6.78;7.17;11.56;2.86;0.39
355465;SP;2014;35503000;1;1;14.21;0;65;2.89;5.18;7.08;6.92;12.10;12.77;0.03
355465;SP;2013;35503000;1;1;13.89;0;65;2.89;5.15;7.03;5.66;11.98;15.93;0.05
355470;SP;2014;35503000;1;1;14.67;0;85;4.03;6.44;8.13;8.46;12.62;29.96;-0.51
355475;SP;2014;35547511;1;0;11.62;0;92;1.61;5.63;6.23;2.08;9.01;37.78;-2.21
355480;SP;2014;35503000;1;1;16.52;0;90;5.04;7.96;9.64;9.35;12.01;28.08;1.41
355480;SP;2013;35503000;1;1;16.32;0;90;5.00;7.93;9.60;9.16;11.82;22.37;0.89
355490;SP;2014;35503000;1;1;14.37;0;85;3.71;6.03;7.80;7.57;12.04;3.78;-0.15
355490;SP;2013;35503000;1;1;14.15;0;85;3.70;6.01;7.76;8.41;11.58;5.28;-0.20
355500;SP;2014;35503000;1;1;16.73;0;96;5.80;8.48;10.20;10.05;11.47;2.42;-0.15
355500;SP;2013;35503000;1;1;16.64;0;96;5.80;8.46;10.19;10.16;11.36;3.91;-0.12
355510;SP;2014;35551011;1;0;14.53;0;79;4.23;6.89;8.68;3.81;10.50;9.86;-0.03
355510;SP;2013;35551011;1;0;14.00;0;79;4.23;6.89;8.65;3.64;10.55;8.08;-0.01
355520;SP;2014;35503000;1;1;13.13;0;82;2.33;4.83;6.68;6.67;11.16;6.45;-0.21
355520;SP;2013;35503000;1;1;13.12;0;82;2.33;4.86;6.66;7.15;11.30;4.24;-0.21
355530;SP;2014;35503000;1;1;13.30;0;71;2.52;4.83;6.67;7.35;12.11;-6.64;-0.05
355530;SP;2013;35503000;1;1;13.11;0;71;2.51;4.81;6.65;7.45;11.74;-2.01;-0.01
355540;SP;2014;35503000;1;1;17.41;0;98;5.93;9.09;10.43;10.26;11.78;17.63;-1.31
355540;SP;2013;35503000;1;1;17.31;0;98;5.93;9.07;10.41;10.30;11.69;14.75;-1.27
355550;SP;2014;35503000;1;1;13.72;0;73;2.82;5.46;7.20;6.17;11.94;-2.88;-0.22
355550;SP;2013;35503000;1;1;13.60;0;73;2.82;5.45;7.18;6.63;11.80;-4.00;-0.27
355570;SP;2014;35503000;1;1;13.12;0;77;2.03;4.66;6.40;5.61;11.60;-0.39;0.01
355570;SP;2013;35503000;1;1;13.03;0;77;2.03;4.67;6.39;7.29;11.60;-2.88;-0.01
355580;SP;2014;35503000;1;1;14.54;0;84;3.89;6.32;8.13;8.19;11.76;5.64;-1.02
355580;SP;2013;35503000;1;1;14.38;0;84;3.89;6.32;8.11;8.75;11.47;4.31;-1.11
355590;SP;2014;35503000;1;1;12.95;0;86;2.02;4.46;6.26;6.37;11.97;-2.66;0.63
355590;SP;2013;35503000;1;1;12.67;0;86;2.02;4.42;6.25;6.69;11.71;-2.77;0.46
355600;SP;2013;35560011;1;0;13.47;0;89;3.56;7.24;8.45;4.91;9.63;11.39;-0.46
355610;SP;2014;35503000;1;1;15.12;0;91;4.28;6.72;8.51;6.75;12.25;2.32;0.24
355610;SP;2013;35503000;1;1;14.97;0;91;4.22;6.67;8.42;9.78;12.06;0.63;0.07
355620;SP;2014;35562011;1;0;17.39;0;95;6.47;8.98;10.49;10.01;11.04;29.15;-0.78
355620;SP;2013;35562011;1;0;17.35;0;95;6.46;8.97;10.45;9.67;10.98;33.54;-0.78
355630;SP;2014;35563011;1;0;15.04;0;95;4.34;7.29;8.97;8.19;10.35;32.80;0.52
355630;SP;2013;35563011;1;0;14.89;0;95;4.32;7.28;8.94;8.15;10.27;32.57;0.36
355635;SP;2014;35503000;1;1;14.76;0;50;3.59;5.72;7.55;7.43;11.46;-0.64;-0.45
355635;SP;2013;35503000;1;1;14.51;0;50;3.59;5.75;7.51;7.07;11.57;5.81;-0.58
355640;SP;2014;35564011;1;0;15.41;0;95;5.62;7.91;9.59;9.10;10.23;10.26;0.10
355640;SP;2013;35564011;1;0;15.32;0;95;5.62;7.85;9.56;8.88;10.11;15.80;0.06
355645;SP;2014;35503000;1;1;16.10;0;100;5.58;7.75;9.40;8.34;12.31;23.79;-2.30
355645;SP;2013;35503000;1;1;15.95;0;100;5.56;7.75;9.36;8.22;12.13;22.81;-2.41
355650;SP;2014;35503000;1;1;17.32;0;100;5.35;8.66;10.37;9.25;12.05;21.31;-0.17
355650;SP;2013;35503000;1;1;17.23;0;100;5.35;8.66;10.33;9.85;12.00;16.56;-0.04
355670;SP;2014;35567011;1;0;16.97;0;97;6.25;8.58;10.04;8.06;10.71;27.65;-0.03
355670;SP;2013;35567011;1;0;16.87;0;97;6.25;8.69;10.01;8.27;10.65;28.55;-0.16
355680;SP;2014;35568011;1;0;14.30;1;97;4.30;7.30;8.81;7.51;9.93;34.09;-0.36
355680;SP;2013;35568011;1;0;14.27;1;97;4.23;7.55;8.77;7.50;9.94;31.28;-0.63
355700;SP;2014;35570011;1;0;17.19;0;96;6.08;8.95;10.42;10.18;10.97;26.27;-0.37
355700;SP;2013;35570011;1;0;17.10;0;96;6.07;8.90;10.38;10.84;10.83;37.33;-0.43
355710;SP;2014;35571011;1;0;17.01;0;97;6.08;8.88;10.52;11.33;10.55;15.10;-0.02
355710;SP;2013;35571011;1;0;16.81;0;97;5.98;8.90;10.51;10.92;10.52;12.95;-0.13
355715;SP;2014;35503000;1;1;13.42;0;79;2.32;5.08;6.88;5.99;12.06;-0.13;-0.39
355715;SP;2013;35503000;1;1;13.24;0;79;2.23;5.04;6.80;7.33;12.01;0.72;-0.45
170025;TO;2014;17210001;0;1;11.48;0;62;2.31;4.43;6.54;5.84;10.16;42.12;-0.80
170025;TO;2013;17210001;0;1;10.98;0;62;2.31;4.43;6.37;6.61;9.05;29.11;-0.73
170030;TO;2014;17210000;1;0;13.16;1;80;3.24;5.55;7.42;8.29;10.70;29.18;-0.94
170030;TO;2013;17210000;1;0;13.60;1;80;2.94;5.55;7.39;8.23;10.79;29.18;-0.78
170035;TO;2014;17210000;0;0;13.30;1;84;3.67;5.37;7.46;7.74;10.51;-0.26;-0.76
170035;TO;2013;17210000;0;0;13.31;1;84;3.67;5.37;7.43;7.74;10.28;-14.99;-0.53
170040;TO;2014;17210000;0;0;13.63;1;79;3.32;5.71;7.80;8.45;11.61;12.59;-0.84
170040;TO;2013;17210000;0;0;13.65;1;79;3.32;5.71;7.77;8.42;10.83;12.59;-0.69
170070;TO;2014;17210000;0;0;14.01;1;93;4.23;6.00;8.00;8.47;10.99;-2.89;-0.53
170070;TO;2013;17210000;0;0;14.02;1;93;4.19;6.00;7.99;8.44;10.61;12.81;-0.43
170100;TO;2014;17010011;1;0;13.46;0;83;4.68;7.00;8.20;6.11;9.56;48.23;0.90
170105;TO;2014;17210001;0;1;11.63;0;61;2.26;4.61;6.76;4.83;10.33;47.51;-1.02
170105;TO;2013;17210001;0;1;11.45;0;61;2.26;4.62;6.51;6.41;10.00;45.52;-1.05
170110;TO;2014;17210001;0;1;12.13;0;79;3.06;5.31;7.29;6.67;10.78;-15.46;-1.02
170110;TO;2013;17210001;0;1;11.85;0;79;3.06;5.28;7.15;7.41;10.50;1.70;-1.17
170130;TO;2014;17210001;0;1;11.87;0;38;2.10;4.74;6.73;5.28;10.25;27.55;-0.69
170130;TO;2013;17210001;0;1;11.64;0;38;2.10;4.24;6.63;5.84;9.71;51.52;-0.19
170190;TO;2014;17210001;0;1;12.30;0;46;3.79;5.37;7.51;6.47;10.09;24.69;-0.56
170190;TO;2013;17210001;0;1;11.56;0;46;3.79;5.37;7.26;6.94;10.06;20.86;-1.05
