c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
522045;GO;2004;52204511;0;0;14.66;0;95;5.46;7.74;9.45;8.89;9.03;30.66;-0.51
522140;GO;2004;52087000;1;1;15.94;0;96;5.64;8.01;10.22;4.11;11.14;30.44;-0.29
522145;GO;2004;52214511;0;0;11.80;0;73;3.03;4.94;6.91;3.00;9.35;9.67;-0.97
522145;GO;2003;52214511;0;0;11.67;0;73;3.03;4.92;6.87;2.30;9.26;5.51;-0.94
522185;GO;2004;52087000;1;1;15.56;0;100;5.40;7.91;9.77;4.78;11.30;50.50;-1.20
522185;GO;2003;52087000;1;1;15.53;0;100;5.40;7.74;9.57;4.70;11.28;23.16;-1.27
210120;MA;2004;21012011;1;0;14.93;0;78;5.03;8.22;10.13;5.77;10.03;39.43;-0.87
210120;MA;2003;21012011;1;0;14.80;0;78;4.88;8.14;10.05;5.45;9.88;42.28;-1.02
210140;MA;2004;21014011;0;0;14.63;0;83;5.41;8.19;9.54;7.83;9.86;19.26;-0.29
210140;MA;2003;21014011;0;0;14.16;0;83;4.86;8.34;9.45;7.50;9.66;1.39;-0.58
210300;MA;2003;21030011;0;0;14.96;0;74;5.93;8.51;10.23;7.19;8.99;56.80;-0.87
210330;MA;2004;21033011;1;0;14.36;0;68;4.74;8.25;9.99;7.50;9.74;46.74;-1.51
210370;MA;2004;21037011;0;0;12.73;0;64;3.54;7.41;8.42;7.19;8.31;11.30;-1.47
210530;MA;2003;21113000;1;1;18.55;0;95;6.30;9.15;10.86;7.83;9.57;60.14;-0.73
210800;MA;2004;21080011;0;0;12.41;0;59;3.66;5.97;8.06;6.98;8.84;38.25;-0.14
210800;MA;2003;21080011;0;0;12.46;0;59;3.18;6.03;8.00;7.24;8.86;39.32;-0.34
210900;MA;2004;21090011;0;0;12.94;0;75;4.15;6.62;8.26;6.68;9.63;30.32;-1.11
210900;MA;2003;21090011;0;0;12.92;0;75;4.15;6.67;8.24;7.09;9.74;40.77;-0.89
211105;MA;2004;21110511;0;0;11.87;0;37;3.26;5.54;7.35;4.70;9.10;32.31;-0.49
211105;MA;2003;21110511;0;0;11.86;0;37;3.25;5.43;7.29;4.38;9.08;34.67;-0.53
211130;MA;2003;21113000;1;1;18.09;0;96;7.62;10.72;12.39;9.92;10.27;39.99;0.02
211220;MA;2004;21122011;0;0;15.00;0;87;5.65;8.31;10.23;7.21;10.96;80.02;-1.20
211220;MA;2003;21122011;0;0;15.14;0;87;5.63;8.83;10.30;2.48;10.91;75.80;-1.27
211280;MA;2004;21128011;0;0;12.91;0;52;3.69;6.67;8.37;6.76;9.62;44.24;-1.11
